target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
NDUFAF1,ENSG00000137806,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase complex assembly factor 1
NDUFB5,ENSG00000136521,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit B5
IMPA1,ENSG00000133731,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,inositol monophosphatase 1
DDC,ENSG00000132437,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,dopa decarboxylase
NDUFA2,ENSG00000131495,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit A2
NDUFA10,ENSG00000130414,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit A10
NDUFA5,ENSG00000128609,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit A5
NDUFA1,ENSG00000125356,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit A1
NDUFAF4,ENSG00000123545,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase complex assembly factor 4
NDUFA8,ENSG00000119421,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit A8
NDUFB3,ENSG00000119013,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit B3
NDUFS7,ENSG00000115286,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase core subunit S7
GPD2,ENSG00000115159,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,glycerol-3-phosphate dehydrogenase 2
NDUFS8,ENSG00000110717,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase core subunit S8
NDUFC1,ENSG00000109390,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit C1
GSK3A,ENSG00000105723,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,glycogen synthase kinase 3 alpha
NDUFB7,ENSG00000099795,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit B7
NDUFB2,ENSG00000090266,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit B2
FGFR2,ENSG00000066468,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,fibroblast growth factor receptor 2
NDUFB4,ENSG00000065518,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit B4
NDUFS1,ENSG00000023228,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase core subunit S1
NDUFAB1,ENSG00000004779,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,NADH:ubiquinone oxidoreductase subunit AB1
PRM2,ENSG00000122304,0.09840430091652605,0.09840430091652605,0.0,0.0,0.0,0.0,0.0,0.0,protamine 2
IFNGR1,ENSG00000027697,0.09788985619544983,0.09528985619544983,0.0,0.0,0.0,0.0,0.010400000000000001,0.0,interferon gamma receptor 1
TNF,ENSG00000232810,0.09709563766759668,0.0,0.0,0.0,0.0,0.0,0.09709563766759668,0.0,tumor necrosis factor
TSPAN31,ENSG00000135452,0.0970553494989872,0.0970553494989872,0.0,0.0,0.0,0.0,0.0,0.0,tetraspanin 31
TEX22,ENSG00000226174,0.0961306095123291,0.0961306095123291,0.0,0.0,0.0,0.0,0.0,0.0,testis expressed 22
CUTA,ENSG00000112514,0.09533963352441788,0.09533963352441788,0.0,0.0,0.0,0.0,0.0,0.0,cutA divalent cation tolerance homolog
ZSCAN31,ENSG00000235109,0.09447957575321198,0.09447957575321198,0.0,0.0,0.0,0.0,0.0,0.0,zinc finger and SCAN domain containing 31
ARHGAP31,ENSG00000031081,0.09386352449655533,0.09386352449655533,0.0,0.0,0.0,0.0,0.0,0.0,Rho GTPase activating protein 31
USP9Y,ENSG00000114374,0.09306000000000002,0.0,0.0,0.0,0.0,0.09306000000000002,0.0,0.0,ubiquitin specific peptidase 9 Y-linked
IL6,ENSG00000136244,0.09282326811871157,0.0,0.0,0.0,0.0,0.0,0.09282326811871157,0.0,interleukin 6
UQCC2,ENSG00000137288,0.09195826947689056,0.09195826947689056,0.0,0.0,0.0,0.0,0.0,0.0,ubiquinol-cytochrome c reductase complex assembly factor 2
HOXA1,ENSG00000105991,0.09154599159955978,0.09154599159955978,0.0,0.0,0.0,0.0,0.0,0.0,homeobox A1
PRM3,ENSG00000178257,0.09105261322110891,0.09105261322110891,0.0,0.0,0.0,0.0,0.0,0.0,protamine 3
LLGL1,ENSG00000131899,0.0901147872209549,0.0901147872209549,0.0,0.0,0.0,0.0,0.0,0.0,LLGL scribble cell polarity complex component 1
RPL37,ENSG00000145592,0.0887363301590085,0.0887363301590085,0.0,0.0,0.0,0.0,0.0,0.0,ribosomal protein L37
CXCL8,ENSG00000169429,0.08827428342984783,0.0,0.0,0.0,0.0,0.0,0.08827428342984783,0.0,C-X-C motif chemokine ligand 8
IL20RA,ENSG00000016402,0.08826827444136143,0.08826827444136143,0.0,0.0,0.0,0.0,0.0,0.0,interleukin 20 receptor subunit alpha
PIK3R2,ENSG00000105647,0.08820636570453644,0.08820636570453644,0.0,0.0,0.0,0.0,0.0,0.0,phosphoinositide-3-kinase regulatory subunit 2
CAPSL,ENSG00000152611,0.08809288591146469,0.08809288591146469,0.0,0.0,0.0,0.0,0.0,0.0,calcyphosine like
KIFC1,ENSG00000237649,0.08751737326383591,0.08751737326383591,0.0,0.0,0.0,0.0,0.0,0.0,kinesin family member C1
ERMP1,ENSG00000099219,0.08746967930346727,0.08746967930346727,0.0,0.0,0.0,0.0,0.0,0.0,endoplasmic reticulum metallopeptidase 1
VCAM1,ENSG00000162692,0.08730163562346609,0.06923232972621918,0.0,0.0,0.0,0.0,0.06999355319191129,0.0,vascular cell adhesion molecule 1
COX4I1,ENSG00000131143,0.08533961325883865,0.08533961325883865,0.0,0.0,0.0,0.0,0.0,0.0,cytochrome c oxidase subunit 4I1
HLA-G,ENSG00000204632,0.0847297839057411,0.0,0.0,0.0,0.0,0.0,0.0847297839057411,0.0,"major histocompatibility complex, class I, G"
TMEM39A,ENSG00000176142,0.08410707651148902,0.07122404873371124,0.0,0.0,0.0,0.0,0.05153211111111112,0.0,transmembrane protein 39A
IQCJ-SCHIP1,ENSG00000283154,0.08400046080350876,0.08400046080350876,0.0,0.0,0.0,0.0,0.0,0.0,IQCJ-SCHIP1 readthrough
ZKSCAN3,ENSG00000189298,0.08358131349086761,0.08358131349086761,0.0,0.0,0.0,0.0,0.0,0.0,zinc finger with KRAB and SCAN domains 3
MMP9,ENSG00000100985,0.0835058624238761,0.0,0.0,0.0,0.0,0.0,0.0835058624238761,0.0,matrix metallopeptidase 9
TMEM132A,ENSG00000006118,0.08339713327586651,0.08339713327586651,0.0,0.0,0.0,0.0,0.0,0.0,transmembrane protein 132A
P2RX7,ENSG00000089041,0.08336695814452702,0.0,0.0,0.0,0.0,0.0,0.08336695814452702,0.0,purinergic receptor P2X 7
CXCL13,ENSG00000156234,0.082553076494498,0.0,0.0,0.0,0.0,0.0,0.082553076494498,0.0,C-X-C motif chemokine ligand 13
VWA7,ENSG00000204396,0.08164382725954056,0.08164382725954056,0.0,0.0,0.0,0.0,0.0,0.0,von Willebrand factor A domain containing 7
KRTAP5-8,ENSG00000241233,0.08135373145341873,0.08135373145341873,0.0,0.0,0.0,0.0,0.0,0.0,keratin associated protein 5-8
CLIC1,ENSG00000213719,0.0806935466825962,0.0806935466825962,0.0,0.0,0.0,0.0,0.0,0.0,chloride intracellular channel 1
HMGB1,ENSG00000189403,0.0797087378866258,0.0,0.0,0.0,0.0,0.0,0.0797087378866258,0.0,high mobility group box 1
APOE,ENSG00000130203,0.07947465826919614,0.0,0.0,0.0,0.0,0.0,0.07947465826919614,0.0,apolipoprotein E
NTN1,ENSG00000065320,0.0789861111111111,0.0,0.0,0.0,0.0,0.0,0.0789861111111111,0.0,netrin 1
IL15RA,ENSG00000134470,0.07868954725563526,0.07868954725563526,0.0,0.0,0.0,0.0,0.0,0.0,interleukin 15 receptor subunit alpha
HOXA2,ENSG00000105996,0.0786726325750351,0.0786726325750351,0.0,0.0,0.0,0.0,0.0,0.0,homeobox A2
NCAPH2,ENSG00000025770,0.07832786813378334,0.07832786813378334,0.0,0.0,0.0,0.0,0.0,0.0,non-SMC condensin II complex subunit H2
CD27,ENSG00000139193,0.07816484444973439,0.0,0.0,0.0,0.0,0.0,0.07816484444973439,0.0,CD27 molecule
CD46,ENSG00000117335,0.07815094140472276,0.0,0.0,0.0,0.0,0.0,0.07815094140472276,0.0,CD46 molecule
RPL5,ENSG00000122406,0.07778611056274838,0.06994999945163727,0.0,0.0,0.0,0.0,0.031344444444444446,0.0,ribosomal protein L5
SLC12A5,ENSG00000124140,0.07720543444156647,0.07720543444156647,0.0,0.0,0.0,0.0,0.0,0.0,solute carrier family 12 member 5
GFAP,ENSG00000131095,0.07717722506413564,0.0,0.0,0.0,0.0,0.0,0.07717722506413564,0.0,glial fibrillary acidic protein
IFNG,ENSG00000111537,0.07712918154155486,0.0,0.0,0.0,0.0,0.0,0.07712918154155486,0.0,interferon gamma
MIEF2,ENSG00000177427,0.07671406120061874,0.07671406120061874,0.0,0.0,0.0,0.0,0.0,0.0,mitochondrial elongation factor 2
LILRB4,ENSG00000186818,0.07606388888888889,0.0,0.0,0.0,0.0,0.0,0.07606388888888889,0.0,leukocyte immunoglobulin like receptor B4
MARCHF9,ENSG00000139266,0.07559928297996521,0.07559928297996521,0.0,0.0,0.0,0.0,0.0,0.0,membrane associated ring-CH-type finger 9
TIMP1,ENSG00000102265,0.07544820698924454,0.0,0.0,0.0,0.0,0.0,0.07544820698924454,0.0,TIMP metallopeptidase inhibitor 1
HLA-E,ENSG00000204592,0.07367976369654076,0.0,0.0,0.0,0.0,0.0,0.07367976369654076,0.0,"major histocompatibility complex, class I, E"
STAT1,ENSG00000115415,0.07300585287117237,0.06317073851823807,0.0,0.0,0.0,0.005550034420172848,0.036873775447215935,0.0,signal transducer and activator of transcription 1
AHR,ENSG00000106546,0.07217711111111111,0.0,0.0,0.0,0.0,0.0,0.07217711111111111,0.0,aryl hydrocarbon receptor
CXCL10,ENSG00000169245,0.0718326657187672,0.0,0.0,0.0,0.0,0.0,0.0718326657187672,0.0,C-X-C motif chemokine ligand 10
ASIC1,ENSG00000110881,0.07162777777777779,0.0,0.0,0.0,0.0,0.0,0.07162777777777779,0.0,acid sensing ion channel subunit 1
VARS1,ENSG00000204394,0.07153322361409664,0.07153322361409664,0.0,0.0,0.0,0.0,0.0,0.0,valyl-tRNA synthetase 1
ADPRH,ENSG00000144843,0.07116550952196121,0.07116550952196121,0.0,0.0,0.0,0.0,0.0,0.0,ADP-ribosylarginine hydrolase
CNTN1,ENSG00000018236,0.07089502267573697,0.0,0.0,0.0,0.0,0.0,0.07089502267573697,0.0,contactin 1
ATF6B,ENSG00000213676,0.07082255836576223,0.07082255836576223,0.0,0.0,0.0,0.0,0.0,0.0,activating transcription factor 6 beta
YPEL3,ENSG00000090238,0.0705685243010521,0.0705685243010521,0.0,0.0,0.0,0.0,0.0,0.0,yippee like 3
MMP2,ENSG00000087245,0.07004414152672518,0.0,0.0,0.0,0.0,0.0,0.07004414152672518,0.0,matrix metallopeptidase 2
VPS37C,ENSG00000167987,0.069852314889431,0.069852314889431,0.0,0.0,0.0,0.0,0.0,0.0,VPS37C subunit of ESCRT-I
IL10,ENSG00000136634,0.06931598279938533,0.0,0.0,0.0,0.0,0.0,0.06931598279938533,0.0,interleukin 10
LINC00278,ENSG00000231535,0.0693,0.0,0.0,0.0,0.0,0.0693,0.0,0.0,long intergenic non-protein coding RNA 278
TLR2,ENSG00000137462,0.0688164552427951,0.0,0.0,0.0,0.0,0.0,0.0688164552427951,0.0,toll like receptor 2
SLC44A4,ENSG00000204385,0.06880305523620789,0.06880305523620789,0.0,0.0,0.0,0.0,0.0,0.0,solute carrier family 44 member 4
LEP,ENSG00000174697,0.06814733900503214,0.0,0.0,0.0,0.0,0.0,0.06814733900503214,0.0,leptin
PFKFB3,ENSG00000170525,0.06796475127339363,0.06796475127339363,0.0,0.0,0.0,0.0,0.0,0.0,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
A2M,ENSG00000175899,0.06760698933990493,0.0,0.0,0.0,0.0,0.0,0.06760698933990493,0.0,alpha-2-macroglobulin
UGT3A1,ENSG00000145626,0.06729935109615326,0.06729935109615326,0.0,0.0,0.0,0.0,0.0,0.0,UDP glycosyltransferase family 3 member A1
RBM45,ENSG00000155636,0.06713896056308319,0.0,0.0,0.0,0.0,0.0,0.06713896056308319,0.0,RNA binding motif protein 45
CXCL12,ENSG00000107562,0.0661462732745021,0.0,0.0,0.0,0.0,0.0,0.0661462732745021,0.0,C-X-C motif chemokine ligand 12
CCR9,ENSG00000173585,0.06611888888888891,0.0,0.0,0.0,0.0,0.0,0.06611888888888891,0.0,C-C motif chemokine receptor 9
CASP1,ENSG00000137752,0.06591595257268912,0.0,0.0,0.0,0.0,0.0,0.06591595257268912,0.0,caspase 1
CCR5,ENSG00000160791,0.06493468964129041,0.0,0.0,0.0,0.0,0.0,0.06493468964129041,0.0,C-C motif chemokine receptor 5
SPP1,ENSG00000118785,0.06487020282998139,0.0,0.0,0.0,0.0,0.0,0.06487020282998139,0.0,secreted phosphoprotein 1
IL18,ENSG00000150782,0.06425630549573408,0.0,0.0,0.0,0.0,0.0,0.06425630549573408,0.0,interleukin 18
ABHD16A,ENSG00000204427,0.06389802135527134,0.06389802135527134,0.0,0.0,0.0,0.0,0.0,0.0,"abhydrolase domain containing 16A, phospholipase"
IL23R,ENSG00000162594,0.06371163829439049,0.0,0.0,0.0,0.0,0.0,0.06371163829439049,0.0,interleukin 23 receptor
S100B,ENSG00000160307,0.06360687863836781,0.0,0.0,0.0,0.0,0.0,0.06360687863836781,0.0,S100 calcium binding protein B
FN1,ENSG00000115414,0.06357994532604763,0.0,0.0,0.0,0.0,0.0,0.06357994532604763,0.0,fibronectin 1
PARP1,ENSG00000143799,0.06326111111111112,0.0,0.0,0.0,0.0,0.0,0.06326111111111112,0.0,poly(ADP-ribose) polymerase 1
RGS16,ENSG00000143333,0.06293827295303345,0.06293827295303345,0.0,0.0,0.0,0.0,0.0,0.0,regulator of G protein signaling 16
CD163,ENSG00000177575,0.06248811608457281,0.0,0.0,0.0,0.0,0.0,0.06248811608457281,0.0,CD163 molecule
IQGAP1,ENSG00000140575,0.062400000000000004,0.0,0.0,0.0,0.0,0.0,0.062400000000000004,0.0,IQ motif containing GTPase activating protein 1
TKFC,ENSG00000149476,0.06149091199040413,0.06149091199040413,0.0,0.0,0.0,0.0,0.0,0.0,triokinase and FMN cyclase
FGF23,ENSG00000118972,0.06124444444444445,0.0,0.0,0.0,0.0,0.0,0.06124444444444445,0.0,fibroblast growth factor 23
CD14,ENSG00000170458,0.06123698668087165,0.0,0.0,0.0,0.0,0.0,0.06123698668087165,0.0,CD14 molecule
IKZF3,ENSG00000161405,0.06120000000000001,0.0,0.0,0.0,0.0,0.0,0.06120000000000001,0.0,IKAROS family zinc finger 3
CASP8,ENSG00000064012,0.06096955555555556,0.0,0.0,0.0,0.0,0.0,0.06096955555555556,0.0,caspase 8
RAB3A,ENSG00000105649,0.0606224499642849,0.0606224499642849,0.0,0.0,0.0,0.0,0.0,0.0,"RAB3A, member RAS oncogene family"
IL2,ENSG00000109471,0.06050454885124183,0.0,0.0,0.0,0.0,0.0,0.06050454885124183,0.0,interleukin 2
SP140L,ENSG00000185404,0.060383401811122894,0.060383401811122894,0.0,0.0,0.0,0.0,0.0,0.0,SP140 nuclear body protein like
IL15,ENSG00000164136,0.060226135033345965,0.0,0.0,0.0,0.0,0.0,0.060226135033345965,0.0,interleukin 15
PLEKHG6,ENSG00000008323,0.0598310350517652,0.058126453310251236,0.0,0.0,0.0,0.006818326966055864,0.0,0.0,pleckstrin homology and RhoGEF domain containing G6
KPNA3,ENSG00000102753,0.059631191194057465,0.059631191194057465,0.0,0.0,0.0,0.0,0.0,0.0,karyopherin subunit alpha 3
CCL2,ENSG00000108691,0.05954568756745975,0.0,0.0,0.0,0.0,0.0,0.05954568756745975,0.0,C-C motif chemokine ligand 2
TMEM119,ENSG00000183160,0.05952222222222222,0.0,0.0,0.0,0.0,0.0,0.05952222222222222,0.0,transmembrane protein 119
HNMT,ENSG00000150540,0.059465345126390456,0.05089034512639046,0.0,0.0,0.0,0.0,0.034300000000000004,0.0,histamine N-methyltransferase
IL22,ENSG00000127318,0.059029728552693325,0.0,0.0,0.0,0.0,0.0,0.059029728552693325,0.0,interleukin 22
AGAP2,ENSG00000135439,0.059027161449193954,0.059027161449193954,0.0,0.0,0.0,0.0,0.0,0.0,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
CD40LG,ENSG00000102245,0.05894527889172168,0.0,0.0,0.0,0.0,0.0,0.05894527889172168,0.0,CD40 ligand
AL121845.2,ENSG00000273047,0.0588437058031559,0.0588437058031559,0.0,0.0,0.0,0.0,0.0,0.0,"novel transcript, LIME1-SLC2A4RG readthrough"
CST3,ENSG00000101439,0.05864791773746537,0.0,0.0,0.0,0.0,0.0,0.05864791773746537,0.0,cystatin C
CD226,ENSG00000150637,0.05846701927437642,0.0,0.0,0.0,0.0,0.0,0.05846701927437642,0.0,CD226 molecule
TALDO1,ENSG00000177156,0.058211111111111116,0.0,0.0,0.0,0.0,0.0,0.058211111111111116,0.0,transaldolase 1
ENTPD1,ENSG00000138185,0.05792559780062502,0.0,0.0,0.0,0.0,0.0,0.05792559780062502,0.0,ectonucleoside triphosphate diphosphohydrolase 1
HCLS1,ENSG00000180353,0.05790702998638153,0.05790702998638153,0.0,0.0,0.0,0.0,0.0,0.0,hematopoietic cell-specific Lyn substrate 1
FOXP3,ENSG00000049768,0.057677861800480706,0.0,0.0,0.0,0.0,0.0,0.057677861800480706,0.0,forkhead box P3
ABHD16B,ENSG00000183260,0.05764734372496605,0.05764734372496605,0.0,0.0,0.0,0.0,0.0,0.0,abhydrolase domain containing 16B
RSPH3,ENSG00000130363,0.057641733437776566,0.057641733437776566,0.0,0.0,0.0,0.0,0.0,0.0,radial spoke head 3
IL18R1,ENSG00000115604,0.05760000000000001,0.0,0.0,0.0,0.0,0.0,0.05760000000000001,0.0,interleukin 18 receptor 1
EVPLL,ENSG00000214860,0.05748775228857994,0.05748775228857994,0.0,0.0,0.0,0.0,0.0,0.0,envoplakin like
CD28,ENSG00000178562,0.05727568598111238,0.0,0.0,0.0,0.0,0.0,0.05727568598111238,0.0,CD28 molecule
CREB5,ENSG00000146592,0.05656725540757179,0.05656725540757179,0.0,0.0,0.0,0.0,0.0,0.0,cAMP responsive element binding protein 5
THADA,ENSG00000115970,0.05648750811815262,0.05648750811815262,0.0,0.0,0.0,0.0,0.0,0.0,THADA armadillo repeat containing
CXCR2,ENSG00000180871,0.056188295295709234,0.0,0.0,0.0,0.0,0.0,0.056188295295709234,0.0,C-X-C motif chemokine receptor 2
LGALS3,ENSG00000131981,0.05604162881078357,0.0,0.0,0.0,0.0,0.0,0.05604162881078357,0.0,galectin 3
MTHFR,ENSG00000177000,0.05569573434978522,0.0,0.0,0.0,0.0,0.0,0.05569573434978522,0.0,methylenetetrahydrofolate reductase
CXCL11,ENSG00000169248,0.05569435884353741,0.0,0.0,0.0,0.0,0.0,0.05569435884353741,0.0,C-X-C motif chemokine ligand 11
CNTN2,ENSG00000184144,0.055555303224993705,0.0,0.0,0.0,0.0,0.0,0.055555303224993705,0.0,contactin 2
TIMP2,ENSG00000035862,0.055380554993319474,0.0,0.0,0.0,0.0,0.0,0.055380554993319474,0.0,TIMP metallopeptidase inhibitor 2
PGBD1,ENSG00000137338,0.055361948907375336,0.055361948907375336,0.0,0.0,0.0,0.0,0.0,0.0,piggyBac transposable element derived 1
TREM2,ENSG00000095970,0.05529050174857209,0.0,0.0,0.0,0.0,0.0,0.05529050174857209,0.0,triggering receptor expressed on myeloid cells 2
BSG,ENSG00000172270,0.05511666666666666,0.0,0.0,0.0,0.0,0.0,0.05511666666666666,0.0,basigin (Ok blood group)
MOG,ENSG00000204655,0.054948136096273525,0.0,0.0,0.0,0.0,0.0,0.054948136096273525,0.0,myelin oligodendrocyte glycoprotein
PGA5,ENSG00000256713,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,pepsinogen A5
AP003108.2,ENSG00000256591,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,novel transcript
PGA3,ENSG00000229859,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,pepsinogen A3
PGA4,ENSG00000229183,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,pepsinogen A4
MS4A18,ENSG00000214782,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,membrane spanning 4-domains A18
MS4A13,ENSG00000204979,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,membrane spanning 4-domains A13
TMEM216,ENSG00000187049,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,transmembrane protein 216
PTGDR2,ENSG00000183134,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,prostaglandin D2 receptor 2
MS4A10,ENSG00000172689,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,membrane spanning 4-domains A10
VWCE,ENSG00000167992,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,von Willebrand factor C and EGF domains
SDHAF2,ENSG00000167985,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,succinate dehydrogenase complex assembly factor 2
MS4A15,ENSG00000166961,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,membrane spanning 4-domains A15
MS4A8,ENSG00000166959,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,membrane spanning 4-domains A8
PPP1R32,ENSG00000162148,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,protein phosphatase 1 regulatory subunit 32
CYB561A3,ENSG00000162144,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,cytochrome b561 family member A3
ZP1,ENSG00000149506,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,zona pellucida glycoprotein 1
TMEM138,ENSG00000149483,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,transmembrane protein 138
MS4A12,ENSG00000071203,0.0549425408244133,0.0549425408244133,0.0,0.0,0.0,0.0,0.0,0.0,membrane spanning 4-domains A12
CNR2,ENSG00000188822,0.05492842671239477,0.0,0.0,0.0,0.0,0.0,0.05492842671239477,0.0,cannabinoid receptor 2
PACS2,ENSG00000179364,0.05490182712674141,0.05490182712674141,0.0,0.0,0.0,0.0,0.0,0.0,phosphofurin acidic cluster sorting protein 2
SP100,ENSG00000067066,0.05483981594443321,0.05483981594443321,0.0,0.0,0.0,0.0,0.0,0.0,SP100 nuclear antigen
SELL,ENSG00000188404,0.054772957601141044,0.0,0.0,0.0,0.0,0.0,0.054772957601141044,0.0,selectin L
IL11,ENSG00000095752,0.05469825850340137,0.0,0.0,0.0,0.0,0.0,0.05469825850340137,0.0,interleukin 11
HCRT,ENSG00000161610,0.05465030698918686,0.0,0.0,0.0,0.0,0.0,0.05465030698918686,0.0,hypocretin neuropeptide precursor
OS9,ENSG00000135506,0.05444973334670067,0.05444973334670067,0.0,0.0,0.0,0.0,0.0,0.0,OS9 endoplasmic reticulum lectin
IDE,ENSG00000119912,0.0543379932641983,0.0543379932641983,0.0,0.0,0.0,0.0,0.0,0.0,insulin degrading enzyme
CD274,ENSG00000120217,0.05423457142857143,0.0,0.0,0.0,0.0,0.0,0.05423457142857143,0.0,CD274 molecule
APLN,ENSG00000171388,0.05413333333333333,0.0,0.0,0.0,0.0,0.0,0.05413333333333333,0.0,apelin
GRN,ENSG00000030582,0.05388443440519964,0.0,0.0,0.0,0.0,0.0,0.05388443440519964,0.0,granulin precursor
IL37,ENSG00000125571,0.05368205951625088,0.0,0.0,0.0,0.0,0.0,0.05368205951625088,0.0,interleukin 37
IL4,ENSG00000113520,0.05357044417705959,0.0,0.0,0.0,0.0,0.0,0.05357044417705959,0.0,interleukin 4
CCL3,ENSG00000277632,0.0534825215315831,0.0,0.0,0.0,0.0,0.0,0.0534825215315831,0.0,C-C motif chemokine ligand 3
MPO,ENSG00000005381,0.05343131867378727,0.0,0.0,0.0,0.0,0.0,0.05343131867378727,0.0,myeloperoxidase
TLR4,ENSG00000136869,0.053311672358533485,0.0,0.0,0.0,0.0,0.0,0.053311672358533485,0.0,toll like receptor 4
TF,ENSG00000091513,0.05317487955154514,0.0,0.0,0.0,0.0,0.0,0.05317487955154514,0.0,transferrin
CDK4,ENSG00000135446,0.05314597487449646,0.05314597487449646,0.0,0.0,0.0,0.0,0.0,0.0,cyclin dependent kinase 4
HLA-DQA2,ENSG00000237541,0.05304440522302876,0.05304440522302876,0.0,0.0,0.0,0.0,0.0,0.0,"major histocompatibility complex, class II, DQ alpha 2"
RPL17,ENSG00000265681,0.0529834171196116,0.0,0.0,0.0,0.0,0.0,0.0529834171196116,0.0,ribosomal protein L17
IL21,ENSG00000138684,0.052939460429031186,0.0,0.0,0.0,0.0,0.0,0.052939460429031186,0.0,interleukin 21
PRL,ENSG00000172179,0.05265028780246737,0.0,0.0,0.0,0.0,0.0,0.05265028780246737,0.0,prolactin
CRP,ENSG00000132693,0.05245407446439296,0.0,0.0,0.0,0.0,0.0,0.05245407446439296,0.0,C-reactive protein
CNP,ENSG00000173786,0.05237548768884897,0.0,0.0,0.0,0.0,0.0,0.05237548768884897,0.0,"2',3'-cyclic nucleotide 3' phosphodiesterase"
FGF2,ENSG00000138685,0.05228321957671958,0.0,0.0,0.0,0.0,0.0,0.05228321957671958,0.0,fibroblast growth factor 2
NCAM1,ENSG00000149294,0.05215580876795163,0.0,0.0,0.0,0.0,0.0,0.05215580876795163,0.0,neural cell adhesion molecule 1
IL17D,ENSG00000172458,0.05206539460932841,0.0,0.0,0.0,0.0,0.0,0.05206539460932841,0.0,interleukin 17D
CSHL1,ENSG00000204414,0.05199722222222223,0.0,0.0,0.0,0.0,0.0,0.05199722222222223,0.0,chorionic somatomammotropin hormone like 1
IL23A,ENSG00000110944,0.051888888888888894,0.0,0.0,0.0,0.0,0.0,0.051888888888888894,0.0,interleukin 23 subunit alpha
CCL7,ENSG00000108688,0.05188611111111111,0.0,0.0,0.0,0.0,0.0,0.05188611111111111,0.0,C-C motif chemokine ligand 7
MAG,ENSG00000105695,0.05188252941774775,0.0,0.0,0.0,0.0,0.0,0.05188252941774775,0.0,myelin associated glycoprotein
SMAD7,ENSG00000101665,0.05185888888888889,0.0,0.0,0.0,0.0,0.0,0.05185888888888889,0.0,SMAD family member 7
TYK2,ENSG00000105397,0.051715856009070305,0.0,0.0,0.0,0.0,0.0,0.051715856009070305,0.0,tyrosine kinase 2
